,C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2,Label_biomass,Label_lignin
0,38.55,5.57,54.88,0.42,0.58,86.19,2.48,11.32,4.0,10.0,650.0,1.25,2.78,0.008,True,False,False,False,False,False,True,False
1,38.55,5.57,54.88,0.42,0.58,86.19,2.48,11.32,4.0,10.0,450.0,1.25,33.98,0.024,True,False,False,False,False,False,True,False
2,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,1.5,5.0,450.0,2.0,262.0,0.225,True,False,False,False,False,False,True,False
3,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,0.5,5.0,450.0,2.0,493.0,0.283,True,False,False,False,False,False,True,False
4,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,1.0,5.0,600.0,2.0,505.0,0.292,True,False,False,False,False,False,True,False
5,38.55,5.57,54.88,0.42,0.58,86.19,2.48,11.32,4.0,10.0,850.0,1.25,657.76,0.3,True,False,False,False,False,False,True,False
6,43.4,5.8,50.2,0.6,0.0,74.46,0.2,21.65,1.0,8.37,500.0,2.0,606.0,0.3,True,False,False,False,False,False,True,False
7,37.2,6.4,41.01,13.6,1.79,74.46,4.7,21.65,1.0,5.0,450.0,2.0,364.0,0.333,True,False,False,False,False,False,True,False
8,45.83,6.29,47.48,0.4,0.0,79.31,1.088,19.6,1.0,10.0,600.0,1.0,877.1929,0.3905,True,False,False,False,False,False,True,False
9,45.83,6.29,47.48,0.4,0.0,79.31,1.088,19.6,1.0,10.0,500.0,1.0,1043.859,0.41655,True,False,False,False,False,False,True,False
10,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,1.0,5.0,450.0,2.0,774.0,0.503,True,False,False,False,False,False,True,False
11,45.83,6.29,47.48,0.4,0.0,79.31,1.088,19.6,1.0,10.0,300.0,1.0,1201.75,0.5519,True,False,False,False,False,False,True,False
12,46.2,5.5,40.41,6.6,1.29,74.46,3.3,21.65,1.5,5.0,450.0,2.0,855.0,0.595,True,False,False,False,False,False,True,False
13,42.2,6.3,51.18,0.32,0.0,77.74,3.85,18.41,10.5,2.0,700.0,2.0,202.0,0.613,True,False,False,False,False,False,True,False
14,42.2,6.3,51.18,0.32,0.0,77.74,3.85,18.41,10.5,2.0,400.0,2.0,8.0,0.613,True,False,False,False,False,False,True,False
15,42.2,6.3,51.18,0.32,0.0,77.74,3.85,18.41,10.5,10.0,700.0,2.0,187.0,0.613,True,False,False,False,False,False,True,False
