C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500,1.0,1.4,0.01,False,True,False,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500,1.0,1.51,0.01,False,False,False,True,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600,1.0,1.61,0.01,False,False,False,True,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500,1.0,36.69,0.04,False,False,False,False,True,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700,1.0,222.18,0.08,False,False,False,True,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.4,10.0,400,1.0,,0.125,False,False,False,False,False,True
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500,1.0,257.37,0.15,False,False,True,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600,1.0,583.82,0.26,False,True,False,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900,1.0,684.21,0.27,True,False,False,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900,1.0,701.75,0.29,False,False,False,False,False,True
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800,1.0,719.3,0.3,False,False,False,False,False,True
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500,1.0,719.3,0.31,True,False,False,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800,1.0,798.25,0.32,True,False,False,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600,1.0,760.28,0.33,False,False,True,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,350,2.0,617.51,0.333,True,False,False,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700,1.0,815.79,0.34,False,False,False,False,False,True
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600,1.0,698.62,0.35,False,False,False,False,True,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,1.0,10.0,350,1.0,534.0,0.361,False,False,False,False,False,True
61.65,5.59,31.3,0.0,1.46,28.14,1.88,66.52,2.0,5.0,800,2.0,896.36,0.3636,False,False,False,False,False,True
62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,1.0,5.0,700,1.0,916.0,0.364,False,False,True,False,False,False
60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,1.0,5.0,600,1.0,770.0,0.366,False,False,True,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.4,10.0,500,1.0,,0.37,False,False,False,False,False,True
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,800,1.0,804.6,0.37,False,False,False,True,False,False
62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,1.0,5.0,600,1.0,878.0,0.372,False,False,True,False,False,False
63.7,4.8,26.3,0.4,0.0,51.19,0.04,46.49,0.84,,800,2.0,883.0,0.38,False,False,False,False,True,False
60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,2.0,5.0,600,1.0,957.0,0.399,False,False,True,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700,1.0,947.37,0.41,True,False,False,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,900,1.0,822.04,0.43,False,False,False,True,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500,1.0,1035.09,0.44,False,False,False,False,False,True
61.6,6.0,31.1,1.1,0.2,,,,3.0,10.0,500,2.0,559.0,0.45,True,False,False,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600,1.0,1026.32,0.45,True,False,False,False,False,False
64.91,7.34,19.82,0.26,7.67,48.66,4.03,34.57,1.0,,700,1.0,866.0,0.47,False,False,False,False,False,True
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700,1.0,998.6,0.49,False,False,False,False,True,False
60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,2.0,5.0,700,1.0,1240.0,0.492,False,False,True,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.7,10.0,400,1.0,,0.494,False,False,False,False,False,True
62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,2.0,5.0,600,1.0,1180.0,0.494,False,False,True,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,0.4,5.0,550,2.0,988.36,0.502,True,False,False,False,False,False
56.2,6.0,34.2,3.60,0.0,,,,1.0,10.0,700,2.0,1236.0,0.53,False,False,True,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,0.7,10.0,450,1.0,,0.534,False,False,False,False,False,True
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,700,1.0,1289.86,0.55,False,False,True,False,False,False
62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,1.0,5.0,800,1.0,1255.0,0.554,False,False,True,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.0,5.0,550,2.5,1128.42,0.569,True,False,False,False,False,False
61.65,5.59,31.3,0.0,1.46,28.14,1.88,66.52,2.0,5.0,800,2.0,1336.5,0.5702,False,False,True,False,False,False
59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600,1.0,1307.02,0.58,False,False,False,False,False,True
